City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kokuy,52.2037,117.5529,278.83,40,100,3.54,RU,1697597030
83,ghat,24.9647,10.1728,297.47,23,9,1.01,LY,1697597030
84,avarua,-21.2078,-159.775,298.18,61,47,6.17,CK,1697596712
85,nova vicosa,-17.8919,-39.3719,296.01,84,8,3.98,BR,1697597030
86,hermanus,-34.4187,19.2345,288.36,92,0,2.86,ZA,1697597030
87,sovetskiy,61.3614,63.5842,281.98,89,38,3.13,RU,1697597030
88,vila do maio,15.1333,-23.2167,298.59,66,1,3.17,CV,1697597031
89,akrehamn,59.2667,5.1833,280.6,87,100,1.54,NO,1697597031
90,baro,8.6,6.4167,296.75,94,79,1.13,NG,1697597031
91,tura,25.5198,90.2201,298.52,69,0,0.22,IN,1697597031
92,kendari,-3.945,122.4989,304.96,52,33,3.75,ID,1697597031
93,kapuskasing,49.4169,-82.4331,277.2,100,0,1.54,CA,1697596681
94,la'ie,21.6477,-157.9253,303.13,71,46,1.79,US,1697597031
95,lyozna,55.0249,30.7956,279.33,82,100,6.01,BY,1697597032
96,wailua homesteads,22.0669,-159.378,301.39,71,100,2.57,US,1697597007
97,isafjordur,66.0755,-23.124,279.92,93,100,7.12,IS,1697596703
98,jinka,5.65,36.65,289.63,92,93,1.13,ET,1697597032
99,cururupu,-1.8283,-44.8683,298.04,87,97,1.6,BR,1697597032
100,argo,37.6333,22.7333,291.65,84,36,1.51,GR,1697597033
101,chonchi,-42.6128,-73.8092,281.55,94,74,1.28,CL,1697597033
102,vilyuchinsk,52.9306,158.4028,280.33,96,100,1.92,RU,1697597033
103,aasiaat,68.7098,-52.8699,257.11,87,73,1.89,GL,1697597033
104,beni saf,35.301,-1.3823,294.31,77,66,3.32,DZ,1697597033
105,polyarnyy,69.1989,33.4478,275.22,71,99,5.9,RU,1697597033
106,olonkinbyen,70.9221,-8.7187,274.35,78,100,2.9,SJ,1697596713
107,kosh-agach,50.0,88.6667,275.19,40,3,0.49,RU,1697597034
108,ugoofaaru,5.6667,73.0,301.06,76,87,3.7,MV,1697597034
109,georgetown,5.4112,100.3354,302.56,81,20,2.24,MY,1697596584
110,carnarvon,-24.8667,113.6333,302.45,36,0,7.66,AU,1697597034
111,invercargill,-46.4,168.35,287.05,75,100,8.49,NZ,1697597017
112,ushuaia,-54.8,-68.3,284.96,47,40,8.23,AR,1697597025
113,bagneres-de-bigorre,43.0667,0.15,287.98,88,0,1.03,FR,1697597035
114,buta,2.7858,24.73,293.64,98,90,0.49,CD,1697597035
115,joshimath,30.5667,79.5667,287.82,42,0,0.71,IN,1697597035
116,egilsstadir,65.2653,-14.3948,276.1,93,75,3.09,IS,1697597035
117,caluula,11.9661,50.7569,300.9,73,18,3.41,SO,1697597036
118,tazacorte,28.629,-17.9293,295.69,80,0,3.13,ES,1697597036
119,darlowo,54.421,16.4107,283.98,74,87,8.0,PL,1697597036
120,talnakh,69.4865,88.3972,272.71,96,100,7.45,RU,1697597036
121,qingyuan,23.7,113.0333,299.14,65,98,0.5,CN,1697597036
122,penza,53.2007,45.0046,277.73,84,100,11.18,RU,1697597036
123,hazard,37.2495,-83.1932,284.98,72,100,0.83,US,1697597037
